date,asset,1m,3m,5m
2023-09-22 09:45:00,000666.SZ,,,
2023-09-22 09:45:00,300965.SZ,,,
2023-09-22 09:45:03,000666.SZ,,,
2023-09-22 09:45:03,300965.SZ,,,
2023-09-22 09:45:06,000666.SZ,,,
2023-09-22 09:45:06,300965.SZ,,,
2023-09-22 09:45:09,000666.SZ,,,
2023-09-22 09:45:09,300965.SZ,,,
2023-09-22 09:45:12,000666.SZ,,,
2023-09-22 09:45:12,300965.SZ,,,
2023-09-22 09:45:15,000666.SZ,,,
2023-09-22 09:45:15,300965.SZ,,,
2023-09-22 09:45:18,000666.SZ,,,
2023-09-22 09:45:18,300965.SZ,,,
2023-09-22 09:45:21,000666.SZ,,,
2023-09-22 09:45:21,300965.SZ,,,
2023-09-22 09:45:24,000666.SZ,,,
2023-09-22 09:45:24,300965.SZ,,,
2023-09-22 09:45:27,000666.SZ,,,
2023-09-22 09:45:27,300965.SZ,,,
2023-09-22 09:45:30,000666.SZ,,,
2023-09-22 09:45:30,300965.SZ,,,
2023-09-22 09:45:33,000666.SZ,,,
2023-09-22 09:45:33,300965.SZ,,,
2023-09-22 09:45:36,000666.SZ,,,
2023-09-22 09:45:36,300965.SZ,,,
2023-09-22 09:45:39,000666.SZ,,,
2023-09-22 09:45:39,300965.SZ,,,
2023-09-22 09:45:42,000666.SZ,,,
2023-09-22 09:45:42,300965.SZ,,,
2023-09-22 09:45:45,000666.SZ,,,
2023-09-22 09:45:45,300965.SZ,,,
2023-09-22 09:45:48,000666.SZ,,,
2023-09-22 09:45:48,300965.SZ,,,
2023-09-22 09:45:51,000666.SZ,,,
2023-09-22 09:45:51,300965.SZ,,,
2023-09-22 09:45:54,000666.SZ,,,
2023-09-22 09:45:54,300965.SZ,,,
2023-09-22 09:45:57,000666.SZ,,,
2023-09-22 09:45:57,300965.SZ,,,
2023-09-22 09:46:00,000666.SZ,,,
2023-09-22 09:46:00,300965.SZ,,,
2023-09-22 09:46:03,000666.SZ,,,
2023-09-22 09:46:03,300965.SZ,,,
2023-09-22 09:46:06,000666.SZ,,,
2023-09-22 09:46:06,300965.SZ,,,
2023-09-22 09:46:09,000666.SZ,,,
2023-09-22 09:46:09,300965.SZ,,,
2023-09-22 09:46:12,000666.SZ,,,
2023-09-22 09:46:12,300965.SZ,,,
2023-09-22 09:46:15,000666.SZ,,,
2023-09-22 09:46:15,300965.SZ,,,
2023-09-22 09:46:18,000666.SZ,,,
2023-09-22 09:46:18,300965.SZ,,,
2023-09-22 09:46:21,000666.SZ,,,
2023-09-22 09:46:21,300965.SZ,,,
2023-09-22 09:46:24,000666.SZ,,,
2023-09-22 09:46:24,300965.SZ,,,
2023-09-22 09:46:27,000666.SZ,,,
2023-09-22 09:46:27,300965.SZ,,,
2023-09-22 09:46:30,000666.SZ,,,
2023-09-22 09:46:30,300965.SZ,,,
2023-09-22 09:46:33,000666.SZ,,,
2023-09-22 09:46:33,300965.SZ,,,
2023-09-22 09:46:36,000666.SZ,,,
2023-09-22 09:46:36,300965.SZ,,,
2023-09-22 09:46:39,000666.SZ,,,
2023-09-22 09:46:39,300965.SZ,,,
2023-09-22 09:46:42,000666.SZ,,,
2023-09-22 09:46:42,300965.SZ,,,
2023-09-22 09:46:45,000666.SZ,,,
2023-09-22 09:46:45,300965.SZ,,,
2023-09-22 09:46:48,000666.SZ,,,
2023-09-22 09:46:48,300965.SZ,,,
2023-09-22 09:46:51,000666.SZ,,,
2023-09-22 09:46:51,300965.SZ,,,
2023-09-22 09:46:54,000666.SZ,,,
2023-09-22 09:46:54,300965.SZ,,,
2023-09-22 09:46:57,000666.SZ,,,
2023-09-22 09:46:57,300965.SZ,,,
2023-09-22 09:47:00,000666.SZ,,,
2023-09-22 09:47:00,300965.SZ,,,
2023-09-22 09:47:03,000666.SZ,,,
2023-09-22 09:47:03,300965.SZ,,,
2023-09-22 09:47:06,000666.SZ,,,
2023-09-22 09:47:06,300965.SZ,,,
2023-09-22 09:47:09,000666.SZ,,,
2023-09-22 09:47:09,300965.SZ,,,
2023-09-22 09:47:12,000666.SZ,,,
2023-09-22 09:47:12,300965.SZ,,,
2023-09-22 09:47:15,000666.SZ,,,
2023-09-22 09:47:15,300965.SZ,,,
2023-09-22 09:47:18,000666.SZ,,,
2023-09-22 09:47:18,300965.SZ,,,
2023-09-22 09:47:21,000666.SZ,,,
2023-09-22 09:47:21,300965.SZ,,,
2023-09-22 09:47:24,000666.SZ,,,
2023-09-22 09:47:24,300965.SZ,,,
2023-09-22 09:47:27,000666.SZ,,,
2023-09-22 09:47:27,300965.SZ,,,
2023-09-22 09:47:30,000666.SZ,,,
2023-09-22 09:47:30,300965.SZ,,,
2023-09-22 09:47:33,000666.SZ,,,
2023-09-22 09:47:33,300965.SZ,,,
2023-09-22 09:47:36,000666.SZ,,,
2023-09-22 09:47:36,300965.SZ,,,
2023-09-22 09:47:39,000666.SZ,,,
2023-09-22 09:47:39,300965.SZ,,,
2023-09-22 09:47:42,000666.SZ,,,
2023-09-22 09:47:42,300965.SZ,,,
2023-09-22 09:47:45,000666.SZ,,,
2023-09-22 09:47:45,300965.SZ,,,
2023-09-22 09:47:48,000666.SZ,,,
2023-09-22 09:47:48,300965.SZ,,,
2023-09-22 09:47:51,000666.SZ,,,
2023-09-22 09:47:51,300965.SZ,,,
2023-09-22 09:47:54,000666.SZ,,,
2023-09-22 09:47:54,300965.SZ,,,
2023-09-22 09:47:57,000666.SZ,,,
2023-09-22 09:47:57,300965.SZ,,,
2023-09-22 09:48:00,000666.SZ,,,
2023-09-22 09:48:00,300965.SZ,,,
2023-09-22 09:48:03,000666.SZ,,,
2023-09-22 09:48:03,300965.SZ,,,
2023-09-22 09:48:06,000666.SZ,,,
2023-09-22 09:48:06,300965.SZ,,,
2023-09-22 09:48:09,000666.SZ,,,
2023-09-22 09:48:09,300965.SZ,,,
2023-09-22 09:48:12,000666.SZ,,,
2023-09-22 09:48:12,300965.SZ,,,
2023-09-22 09:48:15,000666.SZ,,,
2023-09-22 09:48:15,300965.SZ,,,
2023-09-22 09:48:18,000666.SZ,,,
2023-09-22 09:48:18,300965.SZ,,,
2023-09-22 09:48:21,000666.SZ,,,
2023-09-22 09:48:21,300965.SZ,,,
2023-09-22 09:48:24,000666.SZ,,,
2023-09-22 09:48:24,300965.SZ,,,
2023-09-22 09:48:27,000666.SZ,,,
2023-09-22 09:48:27,300965.SZ,,,
2023-09-22 09:48:30,000666.SZ,,,
2023-09-22 09:48:30,300965.SZ,,,
2023-09-22 09:48:33,000666.SZ,,,
2023-09-22 09:48:33,300965.SZ,,,
2023-09-22 09:48:36,000666.SZ,,,
2023-09-22 09:48:36,300965.SZ,,,
2023-09-22 09:48:39,000666.SZ,,,
2023-09-22 09:48:39,300965.SZ,,,
2023-09-22 09:48:42,000666.SZ,,,
2023-09-22 09:48:42,300965.SZ,,,
2023-09-22 09:48:45,000666.SZ,,,
2023-09-22 09:48:45,300965.SZ,,,
2023-09-22 09:48:48,000666.SZ,,,
2023-09-22 09:48:48,300965.SZ,,,
2023-09-22 09:48:51,000666.SZ,,,
2023-09-22 09:48:51,300965.SZ,,,
2023-09-22 09:48:54,000666.SZ,,,
2023-09-22 09:48:54,300965.SZ,,,
2023-09-22 09:48:57,000666.SZ,,,
2023-09-22 09:48:57,300965.SZ,,,
2023-09-22 09:49:00,000666.SZ,,,
2023-09-22 09:49:00,300965.SZ,,,
2023-09-22 09:49:03,000666.SZ,,,
2023-09-22 09:49:03,300965.SZ,,,
2023-09-22 09:49:06,000666.SZ,,,
2023-09-22 09:49:06,300965.SZ,,,
2023-09-22 09:49:09,000666.SZ,,,
2023-09-22 09:49:09,300965.SZ,,,
2023-09-22 09:49:12,000666.SZ,,,
2023-09-22 09:49:12,300965.SZ,,,
2023-09-22 09:49:15,000666.SZ,,,
2023-09-22 09:49:15,300965.SZ,,,
2023-09-22 09:49:18,000666.SZ,,,
2023-09-22 09:49:18,300965.SZ,,,
2023-09-22 09:49:21,000666.SZ,,,
2023-09-22 09:49:21,300965.SZ,,,
2023-09-22 09:49:24,000666.SZ,,,
2023-09-22 09:49:24,300965.SZ,,,
2023-09-22 09:49:27,000666.SZ,,,
2023-09-22 09:49:27,300965.SZ,,,
2023-09-22 09:49:30,000666.SZ,,,
2023-09-22 09:49:30,300965.SZ,,,
2023-09-22 09:49:33,000666.SZ,,,
2023-09-22 09:49:33,300965.SZ,,,
2023-09-22 09:49:36,000666.SZ,,,
2023-09-22 09:49:36,300965.SZ,,,
2023-09-22 09:49:39,000666.SZ,,,
2023-09-22 09:49:39,300965.SZ,,,
2023-09-22 09:49:42,000666.SZ,,,
2023-09-22 09:49:42,300965.SZ,,,
2023-09-22 09:49:45,000666.SZ,,,
2023-09-22 09:49:45,300965.SZ,,,
2023-09-22 09:49:48,000666.SZ,,,
2023-09-22 09:49:48,300965.SZ,,,
2023-09-22 09:49:51,000666.SZ,,,
2023-09-22 09:49:51,300965.SZ,,,
2023-09-22 09:49:54,000666.SZ,,,
2023-09-22 09:49:54,300965.SZ,,,
2023-09-22 09:49:57,000666.SZ,,,
2023-09-22 09:49:57,300965.SZ,,,
2023-09-22 09:50:00,000666.SZ,,,
2023-09-22 09:50:00,300965.SZ,,,
2023-09-22 09:50:03,000666.SZ,,,
2023-09-22 09:50:03,300965.SZ,,,
2023-09-22 09:50:06,000666.SZ,,,
2023-09-22 09:50:06,300965.SZ,,,
2023-09-22 09:50:09,000666.SZ,,,
2023-09-22 09:50:09,300965.SZ,,,
2023-09-22 09:50:12,000666.SZ,,,
2023-09-22 09:50:12,300965.SZ,,,
2023-09-22 09:50:15,000666.SZ,,,
2023-09-22 09:50:15,300965.SZ,,,
2023-09-22 09:50:18,000666.SZ,,,
2023-09-22 09:50:18,300965.SZ,,,
2023-09-22 09:50:21,000666.SZ,,,
2023-09-22 09:50:21,300965.SZ,,,
2023-09-22 09:50:24,000666.SZ,,,
2023-09-22 09:50:24,300965.SZ,,,
2023-09-22 09:50:27,000666.SZ,,,
2023-09-22 09:50:27,300965.SZ,,,
2023-09-22 09:50:30,000666.SZ,,,
2023-09-22 09:50:30,300965.SZ,,,
2023-09-22 09:50:33,000666.SZ,,,
2023-09-22 09:50:33,300965.SZ,,,
2023-09-22 09:50:36,000666.SZ,,,
2023-09-22 09:50:36,300965.SZ,,,
2023-09-22 09:50:39,000666.SZ,,,
2023-09-22 09:50:39,300965.SZ,,,
2023-09-22 09:50:42,000666.SZ,,,
2023-09-22 09:50:42,300965.SZ,,,
2023-09-22 09:50:45,000666.SZ,,,
2023-09-22 09:50:45,300965.SZ,,,
2023-09-22 09:50:48,000666.SZ,,,
2023-09-22 09:50:48,300965.SZ,,,
2023-09-22 09:50:51,000666.SZ,,,
2023-09-22 09:50:51,300965.SZ,,,
2023-09-22 09:50:54,000666.SZ,,,
2023-09-22 09:50:54,300965.SZ,,,
2023-09-22 09:50:57,000666.SZ,,,
2023-09-22 09:50:57,300965.SZ,,,
2023-09-22 09:51:00,000666.SZ,,,
2023-09-22 09:51:00,300965.SZ,,,
2023-09-22 09:51:03,000666.SZ,,,
2023-09-22 09:51:03,300965.SZ,,,
2023-09-22 09:51:06,000666.SZ,,,
2023-09-22 09:51:06,300965.SZ,,,
2023-09-22 09:51:09,000666.SZ,,,
2023-09-22 09:51:09,300965.SZ,,,
2023-09-22 09:51:12,000666.SZ,,,
2023-09-22 09:51:12,300965.SZ,,,
2023-09-22 09:51:15,000666.SZ,,,
2023-09-22 09:51:15,300965.SZ,,,
2023-09-22 09:51:18,000666.SZ,,,
2023-09-22 09:51:18,300965.SZ,,,
2023-09-22 09:51:21,000666.SZ,,,
2023-09-22 09:51:21,300965.SZ,,,
2023-09-22 09:51:24,000666.SZ,,,
2023-09-22 09:51:24,300965.SZ,,,
2023-09-22 09:51:27,000666.SZ,,,
2023-09-22 09:51:27,300965.SZ,,,
2023-09-22 09:51:30,000666.SZ,,,
2023-09-22 09:51:30,300965.SZ,,,
2023-09-22 09:51:33,000666.SZ,,,
2023-09-22 09:51:33,300965.SZ,,,
2023-09-22 09:51:36,000666.SZ,,,
2023-09-22 09:51:36,300965.SZ,,,
2023-09-22 09:51:39,000666.SZ,,,
2023-09-22 09:51:39,300965.SZ,,,
2023-09-22 09:51:42,000666.SZ,,,
2023-09-22 09:51:42,300965.SZ,,,
2023-09-22 09:51:45,000666.SZ,,,
2023-09-22 09:51:45,300965.SZ,,,
2023-09-22 09:51:48,000666.SZ,,,
2023-09-22 09:51:48,300965.SZ,,,
2023-09-22 09:51:51,000666.SZ,,,
2023-09-22 09:51:51,300965.SZ,,,
2023-09-22 09:51:54,000666.SZ,,,
2023-09-22 09:51:54,300965.SZ,,,
2023-09-22 09:51:57,000666.SZ,,,
2023-09-22 09:51:57,300965.SZ,,,
2023-09-22 09:52:00,000666.SZ,,,
2023-09-22 09:52:00,300965.SZ,,,
2023-09-22 09:52:03,000666.SZ,,,
2023-09-22 09:52:03,300965.SZ,,,
2023-09-22 09:52:06,000666.SZ,,,
2023-09-22 09:52:06,300965.SZ,,,
2023-09-22 09:52:09,000666.SZ,,,
2023-09-22 09:52:09,300965.SZ,,,
2023-09-22 09:52:12,000666.SZ,,,
2023-09-22 09:52:12,300965.SZ,,,
2023-09-22 09:52:15,000666.SZ,,,
2023-09-22 09:52:15,300965.SZ,,,
2023-09-22 09:52:18,000666.SZ,,,
2023-09-22 09:52:18,300965.SZ,,,
2023-09-22 09:52:21,000666.SZ,,,
2023-09-22 09:52:21,300965.SZ,,,
2023-09-22 09:52:24,000666.SZ,,,
2023-09-22 09:52:24,300965.SZ,,,
2023-09-22 09:52:27,000666.SZ,,,
2023-09-22 09:52:27,300965.SZ,,,
2023-09-22 09:52:30,000666.SZ,,,
2023-09-22 09:52:30,300965.SZ,,,
2023-09-22 09:52:33,000666.SZ,,,
2023-09-22 09:52:33,300965.SZ,,,
2023-09-22 09:52:36,000666.SZ,,,
2023-09-22 09:52:36,300965.SZ,,,
2023-09-22 09:52:39,000666.SZ,,,
2023-09-22 09:52:39,300965.SZ,,,
2023-09-22 09:52:42,000666.SZ,,,
2023-09-22 09:52:42,300965.SZ,,,
2023-09-22 09:52:45,000666.SZ,,,
2023-09-22 09:52:45,300965.SZ,,,
2023-09-22 09:52:48,000666.SZ,,,
2023-09-22 09:52:48,300965.SZ,,,
2023-09-22 09:52:51,000666.SZ,,,
2023-09-22 09:52:51,300965.SZ,,,
2023-09-22 09:52:54,000666.SZ,,,
2023-09-22 09:52:54,300965.SZ,,,
2023-09-22 09:52:57,000666.SZ,,,
2023-09-22 09:52:57,300965.SZ,,,
2023-09-22 09:53:00,000666.SZ,,,
2023-09-22 09:53:00,300965.SZ,,,
2023-09-22 09:53:03,000666.SZ,,,
2023-09-22 09:53:03,300965.SZ,,,
2023-09-22 09:53:06,000666.SZ,,,
2023-09-22 09:53:06,300965.SZ,,,
2023-09-22 09:53:09,000666.SZ,,,
2023-09-22 09:53:09,300965.SZ,,,
2023-09-22 09:53:12,000666.SZ,,,
2023-09-22 09:53:12,300965.SZ,,,
2023-09-22 09:53:15,000666.SZ,,,
2023-09-22 09:53:15,300965.SZ,,,
2023-09-22 09:53:18,000666.SZ,,,
2023-09-22 09:53:18,300965.SZ,,,
2023-09-22 09:53:21,000666.SZ,,,
2023-09-22 09:53:21,300965.SZ,,,
2023-09-22 09:53:24,000666.SZ,,,
2023-09-22 09:53:24,300965.SZ,,,
2023-09-22 09:53:27,000666.SZ,,,
2023-09-22 09:53:27,300965.SZ,,,
2023-09-22 09:53:30,000666.SZ,,,
2023-09-22 09:53:30,300965.SZ,,,
2023-09-22 09:53:33,000666.SZ,,,
2023-09-22 09:53:33,300965.SZ,,,
2023-09-22 09:53:36,000666.SZ,,,
2023-09-22 09:53:36,300965.SZ,,,
2023-09-22 09:53:39,000666.SZ,,,
2023-09-22 09:53:39,300965.SZ,,,
2023-09-22 09:53:42,000666.SZ,,,
2023-09-22 09:53:42,300965.SZ,,,
2023-09-22 09:53:45,000666.SZ,,,
2023-09-22 09:53:45,300965.SZ,,,
2023-09-22 09:53:48,000666.SZ,,,
2023-09-22 09:53:48,300965.SZ,,,
2023-09-22 09:53:51,000666.SZ,,,
2023-09-22 09:53:51,300965.SZ,,,
2023-09-22 09:53:54,000666.SZ,,,
2023-09-22 09:53:54,300965.SZ,,,
2023-09-22 09:53:57,000666.SZ,,,
2023-09-22 09:53:57,300965.SZ,,,
2023-09-22 09:54:00,000666.SZ,,,
2023-09-22 09:54:00,300965.SZ,,,
2023-09-22 09:54:03,000666.SZ,,,
2023-09-22 09:54:03,300965.SZ,,,
2023-09-22 09:54:06,000666.SZ,,,
2023-09-22 09:54:06,300965.SZ,,,
2023-09-22 09:54:09,000666.SZ,,,
2023-09-22 09:54:09,300965.SZ,,,
2023-09-22 09:54:12,000666.SZ,,,
2023-09-22 09:54:12,300965.SZ,,,
2023-09-22 09:54:15,000666.SZ,,,
2023-09-22 09:54:15,300965.SZ,,,
2023-09-22 09:54:18,000666.SZ,,,
2023-09-22 09:54:18,300965.SZ,,,
2023-09-22 09:54:21,000666.SZ,,,
2023-09-22 09:54:21,300965.SZ,,,
2023-09-22 09:54:24,000666.SZ,,,
2023-09-22 09:54:24,300965.SZ,,,
2023-09-22 09:54:27,000666.SZ,,,
2023-09-22 09:54:27,300965.SZ,,,
2023-09-22 09:54:30,000666.SZ,,,
2023-09-22 09:54:30,300965.SZ,,,
2023-09-22 09:54:33,000666.SZ,,,
2023-09-22 09:54:33,300965.SZ,,,
2023-09-22 09:54:36,000666.SZ,,,
2023-09-22 09:54:36,300965.SZ,,,
2023-09-22 09:54:39,000666.SZ,,,
2023-09-22 09:54:39,300965.SZ,,,
2023-09-22 09:54:42,000666.SZ,,,
2023-09-22 09:54:42,300965.SZ,,,
2023-09-22 09:54:45,000666.SZ,,,
2023-09-22 09:54:45,300965.SZ,,,
2023-09-22 09:54:48,000666.SZ,,,
2023-09-22 09:54:48,300965.SZ,,,
2023-09-22 09:54:51,000666.SZ,,,
2023-09-22 09:54:51,300965.SZ,,,
2023-09-22 09:54:54,000666.SZ,,,
2023-09-22 09:54:54,300965.SZ,,,
2023-09-22 09:54:57,000666.SZ,,,
2023-09-22 09:54:57,300965.SZ,,,
2023-09-22 09:55:00,000666.SZ,,,
2023-09-22 09:55:00,300965.SZ,,,
2023-09-22 09:55:03,000666.SZ,,,
2023-09-22 09:55:03,300965.SZ,,,
2023-09-22 09:55:06,000666.SZ,,,
2023-09-22 09:55:06,300965.SZ,,,
2023-09-22 09:55:09,000666.SZ,,,
2023-09-22 09:55:09,300965.SZ,,,
2023-09-22 09:55:12,000666.SZ,,,
2023-09-22 09:55:12,300965.SZ,,,
2023-09-22 09:55:15,000666.SZ,,,
2023-09-22 09:55:15,300965.SZ,,,
2023-09-22 09:55:18,000666.SZ,,,
2023-09-22 09:55:18,300965.SZ,,,
2023-09-22 09:55:21,000666.SZ,,,
2023-09-22 09:55:21,300965.SZ,,,
2023-09-22 09:55:24,000666.SZ,,,
2023-09-22 09:55:24,300965.SZ,,,
2023-09-22 09:55:27,000666.SZ,,,
2023-09-22 09:55:27,300965.SZ,,,
2023-09-22 09:55:30,000666.SZ,,,
2023-09-22 09:55:30,300965.SZ,,,
2023-09-22 09:55:33,000666.SZ,,,
2023-09-22 09:55:33,300965.SZ,,,
2023-09-22 09:55:36,000666.SZ,,,
2023-09-22 09:55:36,300965.SZ,,,
2023-09-22 09:55:39,000666.SZ,,,
2023-09-22 09:55:39,300965.SZ,,,
2023-09-22 09:55:42,000666.SZ,,,
2023-09-22 09:55:42,300965.SZ,,,
2023-09-22 09:55:45,000666.SZ,,,
2023-09-22 09:55:45,300965.SZ,,,
2023-09-22 09:55:48,000666.SZ,,,
2023-09-22 09:55:48,300965.SZ,,,
2023-09-22 09:55:51,000666.SZ,,,
2023-09-22 09:55:51,300965.SZ,,,
2023-09-22 09:55:54,000666.SZ,,,
2023-09-22 09:55:54,300965.SZ,,,
2023-09-22 09:55:57,000666.SZ,,,
2023-09-22 09:55:57,300965.SZ,,,
2023-09-22 09:56:00,000666.SZ,,,
2023-09-22 09:56:00,300965.SZ,,,
2023-09-22 09:56:03,000666.SZ,,,
2023-09-22 09:56:03,300965.SZ,,,
2023-09-22 09:56:06,000666.SZ,,,
2023-09-22 09:56:06,300965.SZ,,,
2023-09-22 09:56:09,000666.SZ,,,
2023-09-22 09:56:09,300965.SZ,,,
2023-09-22 09:56:12,000666.SZ,,,
2023-09-22 09:56:12,300965.SZ,,,
2023-09-22 09:56:15,000666.SZ,,,
2023-09-22 09:56:15,300965.SZ,,,
2023-09-22 09:56:18,000666.SZ,,,
2023-09-22 09:56:18,300965.SZ,,,
2023-09-22 09:56:21,000666.SZ,,,
2023-09-22 09:56:21,300965.SZ,,,
2023-09-22 09:56:24,000666.SZ,,,
2023-09-22 09:56:24,300965.SZ,,,
2023-09-22 09:56:27,000666.SZ,,,
2023-09-22 09:56:27,300965.SZ,,,
2023-09-22 09:56:30,000666.SZ,,,
2023-09-22 09:56:30,300965.SZ,,,
2023-09-22 09:56:33,000666.SZ,,,
2023-09-22 09:56:33,300965.SZ,,,
2023-09-22 09:56:36,000666.SZ,,,
2023-09-22 09:56:36,300965.SZ,,,
2023-09-22 09:56:39,000666.SZ,,,
2023-09-22 09:56:39,300965.SZ,,,
2023-09-22 09:56:42,000666.SZ,,,
2023-09-22 09:56:42,300965.SZ,,,
2023-09-22 09:56:45,000666.SZ,,,
2023-09-22 09:56:45,300965.SZ,,,
2023-09-22 09:56:48,000666.SZ,,,
2023-09-22 09:56:48,300965.SZ,,,
2023-09-22 09:56:51,000666.SZ,,,
2023-09-22 09:56:51,300965.SZ,,,
2023-09-22 09:56:54,000666.SZ,,,
2023-09-22 09:56:54,300965.SZ,,,
2023-09-22 09:56:57,000666.SZ,,,
2023-09-22 09:56:57,300965.SZ,,,
2023-09-22 09:57:00,000666.SZ,,,
2023-09-22 09:57:00,300965.SZ,,,
2023-09-22 09:57:03,000666.SZ,,,
2023-09-22 09:57:03,300965.SZ,,,
2023-09-22 09:57:06,000666.SZ,,,
2023-09-22 09:57:06,300965.SZ,,,
2023-09-22 09:57:09,000666.SZ,,,
2023-09-22 09:57:09,300965.SZ,,,
2023-09-22 09:57:12,000666.SZ,,,
2023-09-22 09:57:12,300965.SZ,,,
2023-09-22 09:57:15,000666.SZ,,,
2023-09-22 09:57:15,300965.SZ,,,
2023-09-22 09:57:18,000666.SZ,,,
2023-09-22 09:57:18,300965.SZ,,,
2023-09-22 09:57:21,000666.SZ,,,
2023-09-22 09:57:21,300965.SZ,,,
2023-09-22 09:57:24,000666.SZ,,,
2023-09-22 09:57:24,300965.SZ,,,
2023-09-22 09:57:27,000666.SZ,,,
